dataset,scheme,method,missing_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
madelon,mar1,naive,0.2,0.5223076923076924,0.019259593782391213,0.5223076923076924,0.01925959378239123,0.5189905457701044,0.018376952390198507,0.5323313609467456,0.01930412329851731
madelon,mar1,naive,0.3,0.5207692307692307,0.024454099013864344,0.5207692307692308,0.024454099013864403,0.5145220187035839,0.029502495818411016,0.5299704142011834,0.025413746973643254
madelon,mar1,naive,0.4,0.5169230769230769,0.008749471666213352,0.5169230769230768,0.008749471666213348,0.513683544023737,0.015243418989975627,0.5222248520710059,0.010182483607152485
madelon,mar1,naive,0.5,0.5196153846153846,0.009262765060609468,0.5196153846153846,0.009262765060609454,0.5221417204665464,0.01640200504994693,0.5275177514792899,0.0070542388043689135
madelon,mar1,oracle,0.1,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mar1,oracle,0.2,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mar1,oracle,0.3,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mar1,oracle,0.4,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mar1,oracle,0.5,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
madelon,mar1,unlabeled,0.1,0.6126923076923078,0.02617787357843945,0.6126923076923078,0.02617787357843945,0.6079351612118701,0.02021949267621486,0.6358002958579881,0.024085294842415495
madelon,mar1,unlabeled,0.2,0.6123076923076922,0.0329065379018576,0.6123076923076922,0.0329065379018576,0.6109911459463425,0.019889176592241712,0.6296967455621302,0.026888403040987847
madelon,mar1,unlabeled,0.3,0.61,0.03354101966249684,0.61,0.03354101966249684,0.6048821317697797,0.026319449507592765,0.633846153846154,0.03310619283960075
madelon,mar1,unlabeled,0.4,0.6038461538461538,0.03615691476339071,0.6038461538461538,0.036156914763390675,0.5964606526510687,0.03530979062425648,0.6189215976331361,0.04160974542635749
madelon,mar1,unlabeled,0.5,0.5488461538461539,0.04227708683206446,0.5488461538461539,0.04227708683206446,0.5543922739225026,0.03824963176902649,0.5795621301775148,0.04206389670155795
madelon,mar2,naive,0.1,0.5288461538461539,0.02205258642534564,0.5288461538461539,0.02205258642534566,0.523001699965691,0.025935128837339932,0.5470680473372781,0.02092055536828494
madelon,mar2,naive,0.2,0.5207692307692308,0.020460670889646714,0.5207692307692308,0.02046067088964676,0.5128386077985725,0.028855964905552974,0.5390207100591716,0.024563589200150518
madelon,mar2,naive,0.3,0.5230769230769231,0.020487765146790876,0.5230769230769231,0.02048776514679091,0.5103004637134013,0.024544159915991445,0.5415147928994083,0.02599918164756182
madelon,mar2,naive,0.4,0.5419230769230768,0.017168241631281247,0.541923076923077,0.017168241631281292,0.5353396187068391,0.018472255478238307,0.5486538461538462,0.013573434418543398
madelon,mar2,naive,0.5,0.5280769230769231,0.03202370608594968,0.5280769230769231,0.03202370608594968,0.5187334305309114,0.039120418975765944,0.5352248520710059,0.026228414291020716
madelon,mar2,oracle,0.1,0.5223076923076924,0.01158643871645547,0.5223076923076923,0.011586438716455446,0.5193505842035898,0.00930287317684427,0.542387573964497,0.017560762354228186
